;marca;preço
0;Fonte Para Notebook Dell 19.5v 3.34a 65w Pa-12 | 19.5v 3.34a;R$ 68,30
1;Notebook Vaio Fe14 Intel Core I7-10510u, 16GB, SSD 512GB, Full HD, Windows 11 Home - Branco;R$ ----
2;Fonte Carregador Lenovo Notebook Ideapad 320 80yh001br Pino Fino;R$ 116,00
3;Notebook Lenovo V14, Intel Core I5-1235u, 8GB, SSD 256GB, Tela 14 Full HD, Windows 11 Home, Preto - 82ul0014br;R$ 2.820,09
4;Notebook Gamer Lenovo Gaming 3 AMD Ryzen 7-5800H, GTX 1650 4GB, 8GB RAM, SSD 256GB, 15.6 Full HD, Linux, Preto - 82MJS00400;R$ 5.199,99
5;"Notebook Macbook Air Apple, Tela de Retina 15"", M2, 8GB RAM, CPU 8 Núcleos, GPU 10 Núcleos, SSD 512GB, Cinza-espacial - MQKQ3BZ/A";R$ 11.599,99
6;Notebook Lenovo Ultrafino Ideapad 3, AMD Ryzen 7-5700u, 12GB DDR4, SSD 512GB, Linux -  82mfs00600;R$ 3.218,31
7;Bateria Para Notebook Asus A41-x550a, X450l, X550c, X450c, X550l;R$ 127,75
8;Capa  Para Notebook 17;R$ 28,90
9;Capa Case Maleta Para Notebook 15,6 Polegadas Vinho;R$ 36,90
10;"Notebook Gamer Acer Nitro 5 Intel Core I5 8GB Gtx 1650, 512gb Ssd 17.3"" W11 Home Preto - An517-54-55t5";R$ 4.749,05
11;Notebook Vaio Fe15, Tela De 15.6 Polegadas, Intel Core I3, 8GB RAM, SSD 256GB, Windows 11, Cinza Grafite;R$ 2.732,00
12;Fonte Carregador Para Notebook, Acer Aspire A515-51g-58vh, 19v, 3.42a, 65w, Pino 5.5 X 1.7 Mm;R$ 74,21
13;Bateria Para Notebook Dell Inspiron 14-5458 - M5y1k (2014-2016), Preto, 2200 Mah - Bringit;R$ 242,82
14;Notebook Lenovo Ultrafino IdeaPad 3i Intel Core i5-10210U, 8GB, SSD 256GB, Windows 11, 15.6, Prata - 82BS000GBR;R$ 4.049,99
15;Notebook Lenovo Ideapad 3i, Intel Core I3-1115g4, 8GB, SSD 256GB, Tela 15.6 Full HD, Cinza - 82md0010br;R$ 2.427,00
16;Notebook Ultra Windows 10 Home Tela 14 Polegadas Core I3 Memória 4GB 120GB SSD Prata - UB420;R$ 2.429,10
17;Notebook Asus Rog Strix G16 G614jv-n3094w Intel Core I9, RAM 16GB, SSD 512GB, 16 Polegadas LCD, Nvidia Geforce Rtx 4060, Windows 11 Home  - Cinza;R$ 12.887,70
18;Notebook Ideapad Gaming 3i I7-12650h, 16GB RAM, SSD 512GB, RTX 3050 4GB 15.6 FHD, Wva W11 82uj0002br;R$ 6.364,05
19;"Chromebook Lenovo 100e com Processador Intel Celeron N4020 2.8GHz, 4GB de Ram, SSD 32GB, Tela de 11.6"" LED HD, Sistema Operacional Chrome OS, Preto";R$ 1.574,10
20;Carregador Multi Universal, para Laptop, 90W, Preto - Cb007;R$ 159,08
21;Bateria Para Notebook Dell Latitude E5430, 6 Células;R$ 211,82
22;Fonte Para Notebook Asus X540ua | 19v 2.37a;R$ 66,32
23;Teclado Para Notebook, Vaio, Fe15, Vjfe52f11x - Br, Preto;R$ 449,99
24;Bateria Para Notebook Dell, Inspiron 14r 5437-a20 | 4000 Mah;R$ 189,96
25;Fonte Carregador Compativel Com Samsung Ativ Book 2 Np270e4e 19v 3.16a 65w Mm 555;R$ 78,99
26;Bateria Para Notebook Acer Ac14b3k, 2200 Mah, 11.4V - Bringit;R$ 229,25
27;Bateria Para Notebook Dell Inspiron 14 3000, 4000 Mah - Bringit;R$ 189,96
28;Bateria Para Notebook Hp Pavillion 14-bk004la;R$ 438,28
29;Notebook Vaio FE15 Intel Core i5 8GB 512GB SSD;R$ 2.879,10
30;Fonte Carregador, Para Asus X543U X543MB X543BA, 19V, 45W, 669, Bivolt;R$ 69,90
31;"Cooler/base Para Notebook/laptop, 15.6"" Dynamic Wind, 1 Fan - Cn100";R$ 49,90
32;Fonte Dell 19.5V, Para Notebook 3.34A 65W, 4.5mm, 3.0mm - BB20-DE19-T6;R$ 92,99
33;Fonte Carregador, Para Lenovo Ideapad, 110-14ibr, 310, 320, 20v, Ponta Fina;R$ 116,00
34;Fonte Carregador REPLACEMENT Para Asus X510ur 19v 3.42a 65w 816;R$ 89,90
35;Fonte Carregador P/ Notebook Samsung Np530xbb Np350xaa 19v 3.16a 65w 3.0x1.1mm;R$ 78,00
36;Usado - Notebook Lenovo Ideapad S145 81v7s00100, AMD Ryzen 5-3500u, RAM 8GB, HD 1TB, 15.6Polegadas - Windows 10 - Seminovo;R$ 2.367,00
37;Macbook Air, Apple, Chip M1 8c Cpu 7c, Gpu 16GB, 256GB - Cinza Espacial;R$ 8.917,99
38;Bateria Para Dell Inspiron 14 3000 Series I14 3442 A40 14,8v 33wh Xcmed;R$ 207,26
39;"Notebook Acer Aspire 3, Intel Core I5 10ª Gen, 8GB RAM, 256GB SSD, 15.6"", Windows 10 - A315-54-55WY";R$ 3.898,55
40;Teclado P/  Notebook Dell Latitude 3379 3490 - Br Iluminado;R$ 289,99
